Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22514479,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""""","=""""",5,4.31,Atria Books,Kindle Edition,235,2014,1894,,2021/01/18,,,read,,,,1,,,0,,,,,
3590,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""""","=""""",5,4.30,Oxford University Press,Paperback,389,1998,1892,,2021/01/31,,,read,,,,1,,,0,,,,,
10596103,The Filter Bubble: What the Internet is Hiding From You,Eli Pariser,"Pariser, Eli",,"=""1594203008""","=""9781594203008""",0,3.79,Penguin Press,Hardcover,294,2011,2011,,2021/01/31,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
18857175,The Arabian Nights Entertainments,Andrew Lang,"Lang, Andrew",,"=""""","=""""",3,4.03,"Longmans, Green & Co.",Kindle Edition,273,1918,800,2016/07/03,2016/07/03,,,read,,,,1,,,0,,,,,
14744694,Python for Data Analysis,Wes McKinney,"McKinney, Wes",,"=""1449319793""","=""9781449319793""",0,4.13,O'Reilly Media,Paperback,400,2012,2011,,2021/01/23,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
15941378,"Predictive Analytics: The Power to Predict Who Will Click, Buy, Lie, or Die",Eric Siegel,"Siegel, Eric",,"=""1118356853""","=""9781118356852""",0,3.67,John Wiley & Sons,Hardcover,302,2013,2013,,2021/01/18,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
17134962,Too Big to Ignore: The Business Case for Big Data,Phil Simon,"Simon, Phil",,"=""1118638174""","=""9781118638170""",0,3.79,Wiley,Hardcover,256,2013,2013,,2021/01/18,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
49119390,Röd hungersnöd : Stalins krig mot Ukraina,Anne Applebaum,"Applebaum, Anne",,"=""""","=""9789100176860""",5,4.36,Albert Bonniers Förlag,Hardcover,554,2019,2017,,2021/01/18,,,read,,,,1,,,0,,,,,
18711043,Data Science for Business: What you need to know about data mining and data-analytic thinking,Foster Provost,"Provost, Foster",Tom Fawcett,"=""""","=""""",4,4.16,O'Reilly Media,Kindle Edition,414,2013,2013,,2021/01/18,,,read,,,,1,,,0,,,,,
22597856,Hjältars Väg (Trollkarlens Ring #1),Morgan Rice,"Rice, Morgan",,"=""""","=""""",1,3.50,,Kindle Edition,269,2014,2012,,2021/01/18,,,read,,,,1,,,0,,,,,
13068746,Din stund på jorden,Vilhelm Moberg,"Moberg, Vilhelm",,"=""9100566977""","=""9789100566975""",1,3.94,Albert Bonniers Förlag,Hardcover,231,1998,1963,,2021/01/18,,,read,,,,1,,,0,,,,,
20566168,Min pappa Ann-Christine,Ester Roxberg,"Roxberg, Ester",,"=""""","=""9789146224990""",3,3.25,Wahlström & Widstrand,Hardcover,191,2014,2014,,2021/01/18,,,read,,,,1,,,0,,,,,
23473658,Sanning med modifikation (Kouplan #1),Sara Lövestam,"Lövestam, Sara",,"=""9164204464""","=""9789164204462""",2,3.58,Piratförlaget,Hardcover,300,2015,2015,,2021/01/18,,,read,,,,1,,,0,,,,,
15783935,"Rosengädda nästa! (Rosengädda, #1)",Emma Hamberg,"Hamberg, Emma",,"=""""","=""9789164203663""",2,3.67,Pirat Förlaget,Paperback,350,2012,2012,,2021/01/18,,,read,,,,1,,,0,,,,,
27254767,Förresten gör folk så märkliga saker nuförtiden,Åsa Foster,"Foster, Åsa",,"=""""","=""9789137145518""",3,3.78,Bokförlaget Forum,,215,2015,,,2021/01/18,,,read,,,,1,,,0,,,,,
6767116,Agnes Cecilia: En sällsam historia,Maria Gripe,"Gripe, Maria",,"=""9148505765""","=""9789148505769""",2,4.04,Bonniers Junior Förlag AB,Hardcover,220,1983,1978,,2021/01/18,,,read,,,,1,,,0,,,,,
22047318,"Zack (Herkulesserien, #1)",Mons Kallentoft,"Kallentoft, Mons",Markus Lutteman,"=""""","=""9789175470986""",2,3.57,Bookmark Förlag,Hardcover,424,2014,2014,,2021/01/18,,,read,,,,1,,,0,,,,,
